,zl32,zl9,zl2,zl26,zl22,zl15,zl21,zl36,zl33,zl28,zl35,zl13,zl7,zl31,zl30,zl4,zl29,zl34,zl27,zl0,zl17,zl10,zl20,zl25,zl23,zl5,zl14,zl1,zl8,zl6,zl11,zl18,zl24,zl19,zl16,zl12,zl3,dx40,dx4,dx0,dx30,dx11,dx25,dx15,dx27
59,0.0,0.0,0.0,0.0,0.0,-0.019513219656917373,0.0,0.0,0.0,0.007904971965382604,0.0,0.021436839543114858,-0.02494684521522729,0.0,0.0,0.0658743661117492,0.36387896335211606,0.0,0.0,0.0,0.0,-0.012371412618601058,0.0,0.0,-0.03995192278333641,0.0,0.020817977915564917,0.0,0.04264707651628208,0.006447762072752501,0.023498719341522756,0.0,-0.02760086019107478,0.011876077315293013,0.0,0.0,0.0,0.0,0.047421453097858335,0.10485440155245612,-0.04930299249714298,0.0,-0.075202442354875,0.0906756519021032,-0.07170391369256823
58,0.08471204029415175,0.0,0.0,0.0,0.027020333871191918,-0.012629724328743794,0.007803170946129388,-0.012786798836103876,0.01020057169841524,0.010852485231485395,0.0,0.025008045627460465,-0.01302154870987946,0.0,0.0,-0.20441479572014654,0.0,-0.013082851003832996,-0.012527200828803556,0.019686482350556048,0.05647353034940801,-0.00869274198514678,0.0,-0.011013853987593629,-0.033550003547747516,-0.013958120664629432,0.02087899710847626,-0.013851579289320425,0.051215021554086276,0.0,-0.022342301433483872,-0.0075535066777762255,0.06380605223980361,0.011458695408790312,0.29088707114022677,0.0,0.02282533843592157,-0.022448611386145553,0.059148263416328416,0.15998732196807702,0.03791044551731159,-0.012316365828725674,0.09177799632101047,-0.10784971666614995,-0.042814151239874865
55,0.0,0.003339262689673078,0.0,0.0,-0.008639842862372016,-0.021295705071849635,0.01362698818077579,-0.004881980536437069,0.009575574014735855,0.029452853023942294,-0.007483376375858275,0.011263565393983599,-0.02516203028310049,-0.0059763355325004874,-0.005972229728011591,0.011544146039528747,-0.008854897399001749,-0.011586764899126217,-0.020674888669731772,0.012852184917338694,0.08808734503842425,-0.00597386881141565,0.0,-0.007285681130879573,-0.03486996201307618,-0.012940516485952347,0.02877224036283066,-0.003203386708177325,0.0445460279172224,-0.036793107378445655,0.03258986456689539,-0.005626318836554733,0.020032405069411452,0.027173074331350522,-0.010622521026919796,0.01625852045563203,0.027732210373452026,0.009551866947504761,0.04674874392862716,0.2865871479842542,0.06884491776264334,-0.008890435236267147,0.1437487530894036,-0.09894243303324099,-0.10152127589408988
27,-0.008025624298804157,0.0,0.0,0.0,0.0,0.010049344471931204,0.0,-0.002727908011622926,-0.02891286375929747,0.01404928259724661,0.0,-0.08069846556000748,-0.046856363207904206,0.0,0.0,-0.08926312677742348,-0.008587927170194909,0.0,0.014381277402218923,-0.013312492897851635,0.03356783589693574,0.0,0.0,-0.01626407671190827,-0.014466392270360284,-0.02204454802281547,0.010693994815415775,0.11206848311510859,0.0,0.0,0.013863459991863225,-0.00533484461290909,-0.0550804433138104,0.0,-0.0069737901712634,0.0,-0.03973280738362006,-0.020405471327335112,0.010830003957520706,-0.12994429734845442,0.0,-0.007870685109947317,-0.07351721413784834,-0.015226013952622186,-0.04195514462660782
68,0.0,0.0,0.0,0.0,0.0,-0.011117648367671307,0.0067544801583477535,0.0,0.0,-0.01510970180507121,0.0,0.019965660939273946,-0.01753838649329261,0.0,0.0,0.06051842514126034,0.0,-0.009161767074035775,0.0,0.0067573043989211014,0.05085794074849087,-0.010901947957723609,0.0,-0.00566025292663486,-0.03141334338811151,-0.007636334302559255,0.022271364732504097,-0.012462781756719797,-0.016378030642271918,0.011350075415036366,-0.015519997249098357,0.01809347844206904,0.1450789384950176,0.009627567174432404,-0.008273423229712943,0.0,0.013415645824140706,0.0,0.025644897781879384,-0.07940863277739883,0.027857366444534876,0.017646915173578782,0.07898212054566459,0.11888573186887073,0.09429304880169664
66,0.0,0.0061459160412681915,0.0,0.0,0.0,-0.018727068390921045,0.011598385835612693,0.028836434924407652,-0.02073258628599875,0.024431671672595547,0.0,0.024563463745748713,-0.024605847807040098,0.0,0.0,0.0822081634844559,0.0,0.0,0.1990242056390566,0.014509362690549948,-0.0874191188383664,0.0,0.0,0.0,0.03254429958881347,-0.013816225235781486,0.021420752136460698,-0.014443263997990567,0.02437451222519134,0.00884184083884965,0.02308155593406129,0.0,0.006870175209349294,0.018857613189273884,0.0,0.007902699796418174,-0.027296972114519168,-0.015277598183094892,0.06464190642146503,0.017217711908270206,0.019697373313673817,0.008597955324134366,0.015198426821305233,0.08036431242858288,-0.034857745109838856
9,-0.0006138360680369437,-0.002265785068106846,0.0,0.0,0.0,0.01349310058695774,-0.0045520936323775185,-0.002467598432567636,-0.006477348019175211,0.0,-0.004702849512929208,0.0,-0.04624139567120755,-0.0025309092031572666,-0.008854714467938063,0.034250249930825816,-0.0065481935603246,-0.0030629070396480385,0.02519207234017498,-0.00654833418249165,-0.05673496533953065,-0.007170847043537654,0.0,-0.020712435366609272,-0.006970562901124272,-0.017947383150234197,-0.058729727229537176,0.1048114000903185,-0.03415139069055456,0.0,0.0,0.0,-0.06173271034618691,0.0,-0.008776687809881223,0.0,-0.008130422091266798,-0.014838446060371019,-0.017704599644122937,-0.13555086047961068,0.018210997203512852,0.0,-0.09037337055230121,-0.03649469000222749,-0.03137866430368674
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011927477679181828,0.0,0.0,0.0,0.0,-0.03281346632560678,0.0,0.01759755659559531,-0.47214732873435306,0.0,0.0,-0.012638495255942198,0.0,0.03866509299467352,0.0,0.0,-0.012397280223478649,0.032903852259184505,-0.017168704790539932,0.013103895257260138,0.0,-0.04119191437377452,0.0,0.0,0.0,-0.04888225738433717,0.0,0.0,0.0,0.0,-0.011364867778758836,0.04882310272929591,0.041751265554999764,-0.03900558056648494,0.0,-0.05252604296403296,0.07861562434925129,-0.05207737629648401
13,-0.012587609701928905,0.0,0.0,0.0,-0.011234207601200941,-0.02713741298072125,0.009530698622048715,-0.01310520511885688,0.0,0.008202093990319726,-0.008155333331799599,0.019908735301931744,-0.06436567369090504,0.0,-0.01199467907603359,0.055164143014327365,-0.005152590344682233,-0.025883033552733446,-0.028487252404743455,0.006791943050450049,-0.053547075742171164,0.0,0.005524254610477262,-0.023625645653857098,-0.07429432433830195,-0.014178391189610846,0.007807991920914773,-0.010256617434682229,0.02709494245575778,0.01674982659215162,0.013407567824662792,-0.004139844361669906,-0.09143502124245506,0.015141708702575142,-0.016890656624127833,0.006225749249080031,0.018919370003224675,-0.024175103054601983,0.028567134260219923,-0.14359766062044596,0.01274743367222331,0.0,-0.031063329865862237,-0.11962979922108641,0.08679067077026215
35,0.0,0.0,0.0,0.0,-0.007313658823430635,0.1150867556208071,0.013243103666103007,0.003376824378489581,0.0,-0.05916847273912721,0.0,0.023537339909013914,-0.02460881469742974,0.0,0.0,0.08055969942722803,-0.008411028555897824,-0.008539125767684327,0.05501592594833133,0.0,0.09272015876212288,0.032856067080957355,0.0,0.08388099922922983,0.0375893615950185,-0.01049904811752539,0.040537307856914936,-0.012200798876865693,-0.05129342720170278,0.008870633199391529,0.02694095440178304,-0.007488087574602132,0.042213079781397114,0.022262625274272287,-0.012840843736053905,0.017295039521850162,0.031132666124970534,-0.00872996946264382,0.0405940361799208,0.0,-0.01612034844724967,0.014657377117374616,-0.07564763967094948,-0.055062703049639644,0.060920835864650136
