index,zl0,zl1,zl2,zl3,zl4,zl5,zl6,zl7,zl8,zl9,zl10,zl11,zl12,zl13,zl14,zl15,zl16,zl17,zl18,zl19,zl20,zl21,zl22,zl23,zl24,zl25,zl26,zl27,zl28,zl29,zl30,zl31,zl32,zl33,zl34,zl35,zl36,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24,dx25,dx26,dx27,dx28,dx29,dx30,dx31,dx32,dx33,dx34,dx35,dx36,dx37,dx38,dx39,dx40
0,744,239,0,6395,50,0,0,0,2573,0,190,0,21,76,0,24,0,52,2,0,0,267,0,4712,0,0,0,4126,30,0,2,0,0,178,8,130,80,44.000631734936,2.71648919695684,2.40146480740602,2.2571390854324,21.1366225017994,17.4097617565704,5.48127560177648,7.03663988565431,130.280776944259,44.3260237585704,0.243690433425829,3.21411333701582,1.80661387075493,9.8339047939115,0.717405503826996,0.831409449136455,6.63430907519703,0.8197661451694,0.858310219094613,26.2018431215007,249.731654932723,0.490369046967999,0.41957874303844,2.81386705808282,0.189002657844373,0.400585299372923,15.9523272605371,1.766117962152,25.6749270539237,1.05763104152521,4.86336619151352,289.395688007231,717.593780774371,0.165147400184428,0.253562205537831,0.0288702346371952,0.344857337367276,4.02850090889066,2.70875759748429,0.017343392518801,0.230251076503079
0,622,0,0,909,1078,0,0,46,40464,0,474,24,77,1464,0,86,0,0,7,0,0,22,0,11730,0,9,0,59,2160,0,281,0,0,0,0,18,457,49.1971848648448,2.99563722170685,2.93396954888934,2.04630296809636,18.9195365416851,18.4895175128711,3.63056638485795,6.48464280653978,179.84386565172,47.8486750601462,0.49151965431881,1.83948633373187,1.40997834463791,6.04149577658568,0.881207371643071,0.285532619441977,5.89483523165738,0.827808821277288,2.48247277462325,28.8424394131211,9.50084517342747,0.155894405366705,0.416494812656276,3.45308102803841,0.1843242049754,37.1555200783367,16.0414610154974,1.7069168726241,23.6175045885635,1.35835332485938,0.421049507230794,290.752623809263,535.600771253007,0.0776229626745986,0.362508541806082,0.0299004052574419,0.428035220136352,3.28450105010201,1.30511778450566,0.375152787661733,0.177811564696106
0,5406,8,0,23,48,22,15,307,1833,0,21,0,0,0,8,0,0,112,0,0,0,16,4,78,0,0,0,59,21,0,56,0,0,8,0,0,15,49.6906839786398,2.95829539442699,2.82996501620032,2.10788716955164,9.93510141113242,14.4495865073118,4.13379481906916,6.92600666802774,130.04769612044,45.5869798649803,0.25144174723305,3.02486447802921,2.95513487449585,12.4237223056259,0.779782979399969,1.98335387529504,8.46473330324971,1.28122698375405,2.18748426822138,19.1833113063084,27.5337128093558,0.524018232967875,0.495235267191619,2.79393651371356,0.202540483153435,0.535652662720649,18.962145890307,1.31570546462265,13.3643939356806,2.24811052056334,19.5227966132288,503.862223154193,769.008287866921,0.249167949795522,0.528535844958485,0.0237320641762776,0.751088307218088,1.3702967261679,1.11020791318461,0.098947168725868,0.0914506836770412
0,119,0,0,10,56,0,0,1601,224,0,549,0,0,0,0,0,1433,0,0,4,0,8,0,155,0,11,0,73,38,0,0,0,0,4,0,0,9,50.4978585932024,3.58612244669249,4.28480266928696,3.34307695949938,11.5715362639735,24.458012033778,10.9134230581676,11.1965334485005,120.708242419987,67.1200834234385,0.627881253230605,7.64759070356894,1.04916671803014,10.0662164586295,1.07173078120894,0.61973772020282,12.1996002392884,0.605465311511143,3.01931688940697,24.5488366209318,44.8394071105249,0.510751563608584,0.356355151500289,4.28125025555753,0.220686304335939,96.6412210700915,1.63992561252371,1.58125496436624,36.0819453013101,2.34714541748138,9.52245350987832,512.7702678397,956.347191064666,0.215949752509308,55.9479405392765,0.0619056845128335,0.776508414317721,2.08996567549478,1.19037283318454,0.12076107226268,0.313487964718364
0,998,0,0,216,71,0,0,0,19508,0,2517,0,0,25,5,265,263,0,38,0,0,0,2,1144,3,0,0,35,5409,0,0,0,0,2,2,7,137,40.4315538143475,2.13187690814434,2.18272810363416,1.64725386491262,8.36744762198652,12.3990314999609,3.75332808796166,4.7853022103362,128.662199586478,40.0383825826041,0.50219186007652,3.38092449781455,0.246425057870258,0.78941316129598,0.596273939923141,1.05770842525727,5.81139353294764,0.0603802162895956,1.87444245771398,17.6514882449545,20.0105470116285,0.336213393267395,0.407700456272256,2.57083003534529,0.125618570825476,0.564012226352296,0.970755715237674,0.742745317661096,5.25027468482866,0.298678954602718,8.33904465487377,208.614236657358,460.2263903063,0.0331508640325293,114.005282169879,0.0493115819507847,0.140371875972413,1.383457430538,0.86220703342382,0.019146429237278,0.0428367075230737
0,608,68,0,589,1435,0,0,0,1928,0,307,11,0,34,3,7,804,117,0,0,0,3579,142,478,0,3,0,4359,1380,0,22,0,0,59,0,46,208,39.9119189741556,2.31390204547361,2.67197426875448,1.31313845602747,7.65442524869102,13.9441251796021,4.10210515566289,3.53868551605123,123.283517445164,38.087397736804,0.446543758479336,3.56839653452803,1.22397712526564,5.18715440587202,0.550827388914626,0.831071504303591,7.381704703282,0.68817343656797,2.80210790613555,17.4630330970457,41.1945789602672,0.224553363286416,0.510079721026328,2.66305853210681,0.128393566852867,127.357071070812,1.0991925866753,0.988939917756009,6.05176847173048,0.446454672488313,4.80725534403352,219.602023643386,547.875163564485,0.0812068538455519,134.951228918437,0.0323613574393157,0.596727889269239,1.6514486177299,0.360507748716058,0.0181413141387088,0.0480380989448001
0,2952,119,0,2427,83,0,257,9,6220,0,2678,0,0,143,4,50,1032,32,0,0,0,5,3,1569,0,386,0,522,8750,0,0,0,0,0,3,0,83,49.8034802559345,2.80844057936598,4.05609655326603,1.80492547448807,7.43633777245836,13.4287226215958,0.359974784127413,5.93287803268477,180.597652498793,56.1674074866706,1.51253714155518,8.37866439666622,0.735984324614361,0.398208753362252,1.07589747027877,3.32060377767605,9.38851157470673,0.192912446713871,2.48859512486259,29.0391631051787,5.46944468162791,0.198467145100039,0.279577417548525,3.8679836087078,0.125350936549066,0.503301795396808,1.12624160312854,0.768561326852355,2.0794669399584,0.368235009039474,2.00661783779204,260.259962162178,739.384225741899,0.0340201220408706,165.181377028048,0.0423529568563745,0.400374631134932,1.05600570369379,0.365168925884366,0.0473103843345883,0.0190616240820958
0,2141,2972,0,949,89,0,12,4,13898,0,83,31,0,124,9,120,1106,52,0,0,0,1030,4,1645,0,0,4,3912,1272,0,31,0,0,307,4,35,211,57.7938170860327,2.77248749517095,3.78474571925345,2.04471815888804,11.0647023944591,22.9365042478384,1.33529247533149,6.8252092867515,132.130418767463,36.478444538631,0.784422230035558,3.56718192151437,4.06315602002682,14.2130989746017,1.02691017334481,1.93818276325982,11.0156686099975,2.99664645115525,2.03499229908611,30.9638081764571,20.0802025799445,0.550030415127568,0.475257267713128,3.72523731647735,0.475256930590829,0.493598780798369,0.937290719315966,0.663197116937152,12.1972789164306,1.61430810911752,7.40930691934093,390.838768630134,465.713280347218,0.339826968631063,174.953583134795,0.0480538561141993,1.14957970761187,2.04871470611496,0.777332642001236,0.0270138526193096,0.0900743703377554
0,120,0,0,632,63,0,40,9,17137,0,395,0,0,93,0,55,2,0,94,0,0,1616,3,7543,0,51,0,7575,959,0,0,0,0,15,0,262,297,51.6446389092829,3.66954351166221,3.97537603442357,2.71444261413918,9.29904348628346,17.4396004627398,1.93840453797434,9.30965910369918,233.702077962104,76.8965730292011,0.313996294539631,10.5078815520655,2.37221933906438,9.48985556761252,1.10659957165263,1.03297720111794,22.9491054713566,0.824011575165833,4.8317962478589,30.9346273072354,55.505124176827,0.538531303469129,0.624905921250481,4.12648211580127,0.184771019510145,250.038088597933,40.3032805170632,1.63523556921033,23.0130326467609,2.16525464204851,6.87457270694066,400.046920599727,844.908755624534,0.162379159606357,11.2368290347648,0.0622025259477783,0.428821799552422,1.37044834835705,1.13943117407012,0.0688028846246671,0.163766637368617
0,3478,0,0,1167,229,0,0,25,3282,10,3808,0,0,74,0,154,205,46,9,0,0,261,0,1909,0,72,0,753,6863,0,356,0,0,2,0,0,536,49.0132952027196,3.27507736357141,3.2964028041251,1.71879751058472,15.1024995424388,19.9529430018403,0.69703167898044,5.4776043249848,186.138269387148,63.8423448946065,0.62965533225027,2.04139773822313,2.07402606888948,17.5668615804465,0.80624712859829,2.98544875205335,13.9544880436974,0.802248416018414,1.67259019047179,34.8023639067451,36.2017397084597,0.420442487357714,0.333144588332294,2.58572667055666,0.410417804170363,0.491472559084997,48.0440648323513,1.32694801828974,6.7947327805436,0.731196203680258,7.17261870894754,249.928563614456,670.381525767584,0.427198061158415,0.613018236123721,0.0481961959554038,0.692178160108428,1.96551886867716,0.295152310420947,0.0379022129331494,0.0495614573319586
