,zl32,zl9,zl2,zl26,zl22,zl15,zl21,zl36,zl33,zl28,zl35,zl13,zl7,zl31,zl30,zl4,zl29,zl34,zl27,zl0,zl17,zl10,zl20,zl25,zl23,zl5,zl14,zl1,zl8,zl6,zl11,zl18,zl24,zl19,zl16,zl12,zl3,dx40,dx4,dx0,dx30,dx11,dx25,dx15,dx27
59,0.0,0.0,0.0017338415706880182,0.0,0.0056087146011339585,0.0066817972111186735,-0.005461241029343967,0.011921791439227508,0.0,0.00520560044425474,0.007931831413906687,0.011182322601629515,0.009733664760861705,0.0,-0.004847955761442957,-0.008316208854732419,0.006856293653328749,0.0,-0.02068572355649178,0.0022300990570473934,0.010563296385075542,0.04002061953856967,0.0,0.02108352596946379,0.02661056708735282,0.0,0.005035418472233593,0.0032038775508947278,0.014655030267734953,-0.019934987037443435,0.0,0.008056671679675947,-0.07361586954801697,0.003315223351075025,0.01465979835881255,-0.00667299557186964,0.0021305027366452733,0.0,0.04098250489116002,0.019371215846844123,0.008964724749459925,0.004250721689980574,0.0,0.014522194492257322,0.03447767699345372
58,0.0,0.0,0.0,0.0,-0.01609418614872049,0.005989997736821351,0.02140112051610782,0.003391842431820724,0.0030175690927938814,0.0041530696123277255,0.0024770544680314532,0.010987924126410253,0.008903120909195122,0.0,0.011006122911893984,-0.021533337879419356,0.0,0.0,0.0,0.0,0.008786307655107267,0.03725325873651689,0.0,0.008835807703491017,0.02671578342511921,0.0,0.0064161301146159755,0.004084996560917681,0.0075001434378321186,0.015178543621114593,0.006152732407216643,0.008325547221261942,0.15882367397778335,0.0019877485352005897,0.014538353264552079,0.0,0.005566635003780129,0.0,0.024307274514730304,0.007484342245026365,0.0,0.0,0.007640296294382898,0.0,0.008156672958633981
55,0.0,0.0,0.0,0.0,0.0,0.0,-0.010311731761274588,0.002163282627520433,0.0,0.008533131520529582,0.0,0.0,0.0,0.0,0.01278728370939218,0.0,0.0,0.0,0.04376944141695399,0.0,0.011332347858994396,-0.014451453493829014,0.0,0.010652752733512454,0.0,0.0,0.00539341416245769,0.001531626624212837,0.0023601694056387497,0.025017350644043496,0.0,0.00975375537110481,0.1315601547316167,0.0007647086043550377,0.018520318310058154,0.0034096862968122275,0.009024223986185962,0.017540147438817367,0.0035420474633096966,0.0,0.0,0.0,0.013078728395745294,0.0,0.025483159408387968
27,0.0,0.0,0.0,0.0,0.0,-0.018287833153467204,-0.016454546034903997,-0.0049742749244010825,-0.005927431100502671,0.0,0.0,-0.013235425452766321,-0.01624907861620665,0.0,0.0,-0.03194463275918687,0.0,-0.003131293822037048,-0.03287750046977686,-0.00755283142517832,0.0,0.027232008693639478,0.0,-0.02630205592973231,-0.00993987775812195,0.0,0.0,-0.00176042221219257,-0.0035475537779301966,-0.017436359027601486,-0.003931612947487288,0.0,-0.10137315966174175,0.0,0.012930966115211122,-0.007053337317675246,-0.017462040296595226,-0.006496426672451324,-0.014720733739612628,0.0,0.0,-0.009269707484071311,-0.011068102296675467,-0.007712192473989299,0.0
68,0.0,0.0,0.0,0.0,0.004436343031137935,0.0,0.0,0.006130839110209008,0.0008270497472372962,0.0,0.0,0.0011808015468750127,0.001513495952593924,0.0,0.014155143366308187,0.05408128231947118,0.0,0.0,0.0,0.0022730848564341544,0.004057506882292089,0.0,0.0,0.0042246909552705325,0.027369284280884892,0.0,0.003898676360263059,0.0,0.0,0.020975357496742397,0.01684216639502975,0.015561796972838549,0.14668492593163213,0.0016134800773635882,0.014113283788670439,0.0,0.016761579871684362,0.002819179898091162,0.001502758971761775,0.0005219675545562186,0.0,0.01371496356831614,0.009789296570688943,0.026405589948192754,0.0
66,0.0,0.0,0.0,0.0,0.005499858804656851,0.004453384395003862,0.0,0.0,0.0,0.031701042038814325,0.0,0.009765463978589491,0.0,0.0,0.0065879151282902,0.08358919373246132,0.0,0.0,0.0,0.025692174266873653,0.0,0.0,0.0,0.02463134934468823,0.0019068342811424794,0.0,0.0012304342489973276,0.0,0.005918904634562865,0.025250912958515212,0.0,0.0008254343539569834,0.052656066143624544,0.0,0.01472224360630613,0.0017630506375444141,0.0,0.0,0.03458842235746539,0.003137342812162355,0.0,0.007612617416572663,0.007023407270923692,0.001268531061579346,0.0016299619818140876
9,0.0,0.0,0.0,-0.00705776334901137,-0.0013990576629556752,-0.01129649352403348,-0.011249105879242492,-0.005370307606823152,-0.00036939415249247903,-0.008826412177243828,-0.004913382216652074,-0.0044952217135694125,-0.01416010292643308,0.0,-0.000954675193473413,-0.02302327849837692,0.0,0.0,-0.025823401494769402,-0.012068961219200626,-0.01047259148031359,0.025826161385171555,-0.0002679431105557517,-0.02518792394538819,-0.008945957619792323,-0.0019460240432598724,-0.011587332032200977,-0.0005276531753794639,-0.004395118269567955,0.010083282642353246,-0.0007279633047453278,-0.02046345536148339,-0.10566849397478385,0.0,-0.0011850643934841528,-0.007964599648435912,-0.022107436133494186,-0.01179585094921843,-0.01344587356127821,0.0,-0.00635599195085762,0.0,-0.020997164079623154,-0.009404903924839558,0.0
28,0.0,0.0,0.0,0.0,-0.01934093399896793,-0.0081310391249137,-0.017212486599546193,-0.003237990688283001,-0.010222884378211136,-0.021176431626013667,-0.01013539246901417,-0.0145990018520368,0.0,0.0,0.011131633077812807,-0.05717961034284494,0.0,-0.003397755519690204,-0.025746551047024033,0.01350022635069656,0.0,-0.017170166374077592,0.0,-0.006277723102111868,-0.008984628802568775,-0.002236086379251572,0.0,0.0,-0.011165873197594071,-0.020477718528395,-0.0038586413788437796,0.0,-0.1050499038588532,0.0,0.01108579141307869,0.006133325017242706,-0.006192446525128432,-0.006566862640613561,0.0326071739743812,0.0,0.0,-0.01236460720939262,-0.014138466810147727,0.01300134651375582,0.028858251561101722
13,0.0,0.0,0.0,0.0,-0.008136038356389791,-0.001126061119028729,-0.004443935094180257,-0.0035309951227060488,0.0,-0.017909269596276367,-0.008825361191078934,0.0,-0.020995238924540194,0.0,-0.008152408842591996,-0.015430515626474878,0.0,0.0,-0.02518415169070029,-0.005198450023538581,-0.01453631633297875,-0.02328562301273973,0.0,-0.0176865655628273,-0.007502779518907932,-0.0023666785226854337,-0.009053140222396172,0.0,0.0,-0.021977966118447656,-0.0006626661370496001,-0.00044212527144349423,-0.11203040766679526,0.0,0.0,-0.00682961971710605,0.0,-0.014952799693994129,-0.004043081777476976,-0.0009548844177872662,-0.002861217439297986,0.0,-0.01439382218778712,-0.008155176901717298,-0.01787815845651025
35,0.0,0.0,0.0,0.0,0.0020829039005694355,0.002795772144710995,0.026941927006372123,0.0,0.0010121943461736081,0.0,0.0,0.011722644336349168,0.006246243359434522,0.0,0.0,0.0,0.0,0.0,-0.02146773758885974,0.0,0.007847049696233371,0.0,0.0,0.009791859949617579,0.0,0.0,0.008402556684314846,0.0011055079808786755,0.0,0.02556592541483913,0.0,0.010777231529064221,0.19813547369304513,0.001078145163614791,0.018598594911553197,0.0,0.021085306149638605,0.0,0.0,0.0,0.011940033259295213,0.015772452738743892,0.0,0.0,0.0020204607789566786
